"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"04-Jun-2024","EQ","1,874.00","1,877.95","1,711.25","1,879.30","1,764.15","1,773.00","1,797.50","1,985.40","1,232.85","18,10,438","3,25,42,66,648.30","92,042"
"03-Jun-2024","EQ","1,980.00","1,985.40","1,866.65","1,907.30","1,882.65","1,879.30","1,890.93","1,985.40","1,232.85","11,84,715","2,24,02,08,378.35","67,925"
"31-May-2024","EQ","1,872.55","1,950.05","1,856.10","1,860.60","1,908.80","1,907.30","1,899.02","1,950.05","1,232.85","26,34,560","5,00,30,85,823.20","84,889"
"30-May-2024","EQ","1,892.40","1,904.80","1,854.40","1,893.55","1,858.00","1,860.60","1,881.06","1,925.00","1,232.85","12,04,505","2,26,57,43,923.15","56,186"
"29-May-2024","EQ","1,889.50","1,909.80","1,869.30","1,885.75","1,892.40","1,893.55","1,895.79","1,925.00","1,232.85","8,31,300","1,57,59,70,733.05","56,177"
"28-May-2024","EQ","1,890.65","1,907.00","1,876.15","1,887.30","1,889.00","1,885.75","1,887.42","1,925.00","1,232.85","11,80,720","2,22,85,17,496.50","58,029"
"27-May-2024","EQ","1,899.00","1,919.50","1,870.05","1,889.85","1,885.95","1,887.30","1,897.29","1,925.00","1,232.85","9,98,013","1,89,35,23,194.40","56,920"
"24-May-2024","EQ","1,851.00","1,925.00","1,843.75","1,854.15","1,891.60","1,889.85","1,901.29","1,925.00","1,232.85","18,64,447","3,54,48,60,869.20","96,797"
"23-May-2024","EQ","1,839.15","1,857.45","1,824.00","1,842.95","1,849.15","1,854.15","1,843.63","1,876.40","1,232.85","11,57,389","2,13,38,02,464.85","49,952"
"22-May-2024","EQ","1,876.40","1,876.40","1,832.30","1,866.85","1,845.75","1,842.95","1,847.00","1,876.40","1,232.85","10,42,740","1,92,59,41,517.75","54,935"
"21-May-2024","EQ","1,825.00","1,874.60","1,822.80","1,822.80","1,852.00","1,866.85","1,860.60","1,874.60","1,232.85","20,54,011","3,82,16,82,822.50","1,13,840"
"18-May-2024","EQ","1,810.00","1,839.60","1,802.05","1,813.65","1,825.00","1,822.80","1,819.63","1,839.60","1,232.85","62,562","11,38,39,875.00","4,315"
