Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52WH,52WL,VOLUME,VALUE,No of trades
02-Feb-24,EQ,"1,092.10","1,095.80","1,054.90","1,092.10","1,063.90","1,064.70","1,073.94","1,219.00",525.35,"1,43,010","15,35,83,636.50","15,428"
01-Feb-24,EQ,"1,103.95","1,107.45","1,070.50","1,100.20","1,088.80","1,092.10","1,088.58","1,219.00",525.35,"1,43,517","15,62,30,059.95","15,773"
31-Jan-24,EQ,"1,089.65","1,103.60","1,087.00","1,087.20","1,091.00","1,100.20","1,097.34","1,219.00",525.35,"1,76,323","19,34,85,529.05","15,643"
30-Jan-24,EQ,"1,107.00","1,113.65","1,074.40","1,105.40","1,089.00","1,087.20","1,089.92","1,219.00",525.35,"2,09,530","22,83,70,425.85","22,928"
29-Jan-24,EQ,"1,117.00","1,120.00","1,095.55","1,106.80","1,106.00","1,105.40","1,107.26","1,219.00",525.35,"2,20,596","24,42,56,158.55","21,423"
25-Jan-24,EQ,"1,088.95","1,124.00","1,080.65","1,084.30","1,100.00","1,106.80","1,108.75","1,219.00",525.35,"4,51,277","50,03,52,534.25","38,880"
24-Jan-24,EQ,"1,080.05","1,090.00","1,061.05","1,080.05","1,076.90","1,084.30","1,078.32","1,219.00",525.35,"1,71,092","18,44,92,407.85","20,627"
23-Jan-24,EQ,"1,100.00","1,104.30","1,068.80","1,091.65","1,081.00","1,080.05","1,082.49","1,219.00",525.35,"2,34,135","25,34,49,496.25","24,666"
20-Jan-24,EQ,"1,067.00","1,098.05","1,051.00","1,065.70","1,080.00","1,091.65","1,078.10","1,219.00",525.35,"1,62,622","17,53,22,566.25","11,539"
19-Jan-24,EQ,"1,068.35","1,073.40","1,056.85","1,059.85","1,066.55","1,065.70","1,065.49","1,219.00",525.35,"88,929","9,47,52,818.05","10,735"
18-Jan-24,EQ,"1,062.15","1,075.00","1,041.05","1,057.20","1,067.00","1,059.85","1,058.89","1,219.00",525.35,"1,64,170","17,38,38,356.40","17,234"
